"name","birth_place","birth_year","death_place","death_year","gender","citizenship","occupation_str","eflux_original_names","painterpalette_original_names","Nationality","movement","styles","styles_extended","StylesCount","StylesYears","Art500k_Movements","FirstYear","LastYear","wikiart_pictures_count","PaintingsExhibitedAt","PaintingsExhibitedAtCount","PaintingSchool","Influencedby","Influencedon","Pupils","Teachers","FriendsandCoworkers","locations","locations_with_years","artist_match_A"
"Angela Bulloch","Rainy River",1966,,,"female","Canada","sculptor,visual artist,printmaker,installation artist,sound artist,conceptual artist","Angela Bulloch","Angela Bulloch",,"Relational Art","Neo-Minimalism","{Neo-Minimalism:10}",,,,,,10,,,,,,,,,"['Berlin']","[]","Angela Bulloch"
"Judith Scott","Columbus",1943,"Dutch Flat",2005,"female","United States of America","artist,sculptor,textile artist","Judith Scott","Judith Scott",,"Outsider art (Art brut)","Outsider art","{Outsider art:20}",,,,,,20,,,,,,,,,"['Oakland']","[]","Judith Scott"
"Ann Hamilton","Orsett",1939,,1965,"female","United Kingdom","actor,television actor,photographer,professor,artist,sculptor,creator,performance artist,printmaker,video artist,conceptual artist,researcher","Ann Hamilton","Ann Hamilton",,"Post-Minimalism","Post-Minimalism","{Post-Minimalism:11}",,,,,,11,,,,,,,,,"[]","[]","Ann Hamilton"
"Charles Long","London",1796,"Framingham",1861,"male","Kingdom of Great Britain","writer,politician,art collector,American football player,sculptor,printmaker,priest,judge,plantation owner,religious studies scholar,researcher,teacher,drummer,basketball player","Charles Long","Charles Long",,"Post-Minimalism","Post-Minimalism","{Post-Minimalism:10}",,,,,,10,,,,,,,,,"['London', 'Mansfield', 'Scottsdale']","[]","Charles Long"
"Jason Rhoades","Newcastle",1965,"Los Angeles",2006,"male","United States of America","visual artist,installation artist","Jason Rhoades","Jason Rhoades",,"Relational Art","Post-Minimalism","{Post-Minimalism:11}",,,,,,11,,,,,,,,,"[]","[]","Jason Rhoades"
"Jessica Stockholder","Seattle",1959,,,"female","United States of America","sculptor,visual artist,printmaker,installation artist","Jessica Stockholder","Jessica Stockholder",,"Post-Minimalism","Post-Minimalism","{Post-Minimalism:10}",,,,,,10,,,,,,,,,"[]","[]","Jessica Stockholder"
"Jorge Pardo","Madrid",1956,,,"male","Spain","saxophonist,jazz musician,architect,artist,illustrator,painter,sculptor,visual artist,computer artist,singer","Jorge Pardo","Jorge Pardo",,"Relational Art","Post-Minimalism","{Post-Minimalism:21}",,,,,,21,,,,,,,,,"['Los Angeles']","['Los Angeles:1978-2012']","Jorge Pardo"
"Tony Feher","Albuquerque",1956,"New York City",2016,"male","United States of America","visual artist","Tony Feher","Tony Feher",,"Post-Minimalism","Post-Minimalism, Unknown","{Post-Minimalism:14},{Unknown:1}",,,,,,15,,,,,,,,,"[]","[]","Tony Feher"
"Bahia Shehab","Beirut",1977,,,"female","Lebanon","university teacher,art historian,visual artist,designer","Bahia Shehab","Bahia Shehab",,"Street art","Street art","{Street art:13}",,,,,,13,,,,,,,,,"[]","[]","Bahia Shehab"
"Claude Cahun","Nantes",1894,"Saint Helier",1954,"non-binary","France","photographer,writer,artist,painter,sculptor,resistance fighter","Claude Cahun","Claude Cahun",,"Surrealism","Surrealism","{Surrealism:9}",,,,,,9,,,,,,,,,"['Paris']","[]","Claude Cahun"
"Ming Smith","Detroit",1951,,,"female","United States of America","photographer,visual artist","Ming Smith","Ming Smith",,"Black Arts Movement","Unknown","{Unknown:20}",,,,,,20,,,,,,,,,"['New York City']","[]","Ming Smith"
"Margaret Bourke-White","The Bronx",1904,"Stamford",1971,"female","United States of America","photographer,writer,artist,photojournalist,journalist,war photographer","Margaret Bourke-White","Margaret Bourke-White",,,,,,,"{Social realism:6953}",1885,1982,,,,,,,,,,"['Cleveland', 'South Africa', 'Germany', 'Moscow', 'Pakistan', 'New York City', 'Italy', 'India']","[]","Margaret Bourke White"
"Robert Delaunay","Paris",1885,"Montpellier",1941,"male","France","painter,visual artist,designer,theatre designer","Robert Delaunay","Robert Delaunay","French",,,,"{Orphism:30}, {Post-Impressionism:2}","Orphism:1909-1939,Post-Impressionism:1904-1906","{Orphism (Simultanism):32}",1904,1939,,"US, Germany, St. Louis, Washington DC, Chicago, Karlsruhe, IL, Munich, Paris, France, NY, Madrid, Spain, MO, Switzerland, Basel, New York City","{Karlsruhe:2},{Germany:3},{Munich:1},{Paris:2},{France:2},{Washington DC:1},{US:8},{New York City:5},{NY:5},{Madrid:1},{Spain:1},{Basel:1},{Switzerland:1},{St. Louis:1},{MO:1},{Chicago:1},{IL:1}","École de Paris,Der Blaue Reiter (The Blue Rider),Société des Artistes Indépendants (Society of Independent Artists),La Ruche","Paul Gauguin,Henri Rousseau,Georges Seurat,Pablo Picasso,Claude Monet,Pont-Aven School,","Aristarkh Lentulov,Der Blaue Reiter (The Blue Rider),Post-Painterly Abstraction,Abstract Expressionism,Paul Klee,August Macke,Marc Chagall,Wassily Kandinsky,Diego Rivera,",,,"Marc Chagall,Fernand Leger,Jean Metzinger,Roman Selsky,Margit Selska,Józef Pankiewicz,","['Paris', 'Spain', 'Pont-Aven']","[]","Robert Delaunay"
"Berenice Abbott","Springfield",1898,"Monson",1991,"female","United States of America","photographer,inventor,artist,architectural photographer","Berenice Abbott","Berenice Abbott",,,,,,,,1924,1954,,"France, Paris, New York, United States","{New York:6},{United States:3},{France:2},{Paris:1}",,,,,,,"['Paris', 'New York City', 'Berlin', 'Maine']","[]","Berenice Abbott"
"Maxime Du Camp","Paris",1822,"Baden-Baden",1894,"male","France","photographer,writer,poet,journalist,art critic,literary critic","Maxime du Camp","Maxime Du Camp",,,,,,,,1849,1853,,"Philae, Ibsamboul, Cairo, Luxor, Israel, Palestine, Lille, Giza, France, Egypt, Kalabscheh, Jerusalem, Thebes","{France:9},{Ibsamboul:3},{Egypt:13},{Jerusalem:3},{Palestine:3},{Israel:3},{Thebes:3},{Kalabscheh:1},{Lille:1},{Luxor:1},{Giza:1},{Cairo:1},{Philae:1}",,,,,,,"['Paris']","[]","Maxime Du Camp"
"Marcel Breuer","Pécs",1902,"New York City",1981,"male","Hungary","architect,university teacher,designer,furniture designer","Marcel Breuer","Marcel Breuer",,,,,,,,1928,1936,,"Hungary","{Hungary:1}",,,,,,,"['Wiesbaden', 'New York City', 'Weimar', 'Paris', 'Zürich']","[]","Marcel Breuer"
"Wilhelm Lehmbruck","Duisburg",1881,"Berlin",1919,"male","German Empire","illustrator,painter,sculptor,graphic artist,drawer","Wilhelm Lehmbruck","Wilhelm Lehmbruck",,,,,,,"{Naturalism:1},{Modern art:1}",1913,1918,,,,,,,,,,"[]","[]","Wilhelm Lehmbruck"
"Bill Viola","Queens",1951,"Long Beach",2024,"male","United States of America","screenwriter,composer,cinematographer,artist,television producer,musician,film director,visual artist,multimedia artist,installation artist,video artist","Bill Viola","Bill Viola",,,,,,,,1975,2011,,,,,,,,,,"['Florence', 'New York City', 'Long Beach', 'Syracuse', 'Atsugi']","[]","Bill Viola"
"Robert Mapplethorpe","Floral Park",1946,"Boston",1989,"male","United States of America","photographer,artist,sculptor,film director,photo artist,collagist","Robert Mapplethorpe","Robert Mapplethorpe",,,,,,,,1980,1984,,,,,,,,,,"['New York City']","[]","Robert Mapplethorpe"
"Tony Cragg","Liverpool",2012,,,"male","United Kingdom","painter,sculptor,university teacher,printmaker,installation artist,conceptual artist","Tony Cragg","Tony Cragg",,,,,,,"{Contemporary art:1}",1982,1990,,,,,,,,,,"['Wuppertal']","[]","Tony Cragg"
"Yoshitomo Nara","Hirosaki",1959,,,"male","Japan","photographer,musician,illustrator,painter,sculptor,printmaker,architectural draftsperson,installation artist","Yoshitomo Nara","Yoshitomo Nara",,,,,,,,2007,2008,,,,,,,,,,"['Düsseldorf', 'Tokyo']","[]","Yoshitomo Nara"
"Song Dong","Beijing",1966,,,"male","People's Republic of China","photographer,artist,sculptor,performance artist,installation artist,video artist,conceptual artist","Song Dong","Song Dong",,,,,,,,2001,2014,,,,,,,,,,"['Beijing']","[]","Song Dong"
"Zaha Hadid","Baghdad",1950,"Miami",2016,"female","United Kingdom","architect,artist,painter,sculptor,university teacher,jewelry designer,designer","Zaha Hadid","Zaha Hadid",,,,,,,,1996,2014,,"London, England","{London:1},{England:1}",,,,,,,"['Milan', 'Moscow', 'Zaragoza', 'New York City', 'Copenhagen', 'Innsbruck', 'Hong Kong', 'Baku', 'Chicago', 'Berlin', 'Boston', 'Weil am Rhein', 'East Lansing', 'Rome', 'New Haven', 'London', 'Cincinnati']","[]","Zaha Hadid"
"Helmut Newton","Berlin",1920,"Los Angeles",2004,"male","Germany","photographer,photojournalist,fashion photographer","Helmut Newton","Helmut Newton",,,,,,,,,,,"Melbourne","{Melbourne:1}",,,,,,,"[]","[]","Helmut Newton"
"Chuck Close","Monroe",1940,"Oceanside",2021,"male","United States of America","photographer,painter,printmaker,drawer,collagist","Chuck Close","Chuck Close","American",,,,"{Photorealism:11}","Photorealism:1968-2007","{Photorealism (Super-Realism, Hyper-Realism):11}",1968,2007,,,,,,,,,,"['Amherst', 'New York City', 'Seattle', 'New Haven', 'Vienna', 'Norfolk']","[]","Chuck Close"
"William Kentridge","Johannesburg",1955,,,"male","South Africa","actor,artist,painter,filmmaker,creator,film director,scenographer,theatrical director,visual artist,director,drawer,video artist","William Kentridge","William Kentridge",,,,,,,,2003,2012,,,,,,,,,,"['Johannesburg']","[]","William Kentridge"
"Jenny Holzer","Gallipolis",1950,,,"female","United States of America","artist,painter,sculptor,visual artist,drawer,installation artist,conceptual artist","JENNY HOLZER","Jenny Holzer",,,,,,,,1997,1997,,"London, United Kingdom","{London:2},{United Kingdom:2}",,,,,,,"['Hoosick Falls', 'New York City']","[]","Jenny Holzer"
"Marcel Wanders","Boxtel",1963,,,"male","Kingdom of the Netherlands","architect,graphic designer,jewelry designer,designer,industrial designer,ceramics designer","Marcel Wanders","Marcel Wanders",,,,,,,,1998,2012,,,,,,,,,,"['Arnhem', 'Maastricht', 'Amsterdam']","[]","Marcel Wanders"
"Walter Gropius","Berlin",1883,"Boston",1969,"male","Germany","teacher,architect,urban planner,pedagogue,designer","Walter Gropius","Walter Gropius",,,,,,,,1926,1926,,"Germany, Weimar","{Weimar:1},{Germany:1}",,,,,,,"[]","[]","Walter Gropius"
"Vanessa Beecroft","Genoa",1969,,,"female","Italy","photographer,painter,sculptor,performance artist,video artist,serigrapher,object artist","Vanessa Beecroft","Vanessa Beecroft",,,,,,,,1996,2006,,,,,,"private collection,","Artists1/Vanessa Beecroft/Senza Titolo##cgEXuIIG2IHV3A.jpg,",,,"['New York City', 'Genoa', 'Los Angeles', 'Milan']","[]","Vanessa Beecroft"
"Dan Graham","Urbana",1942,"Manhattan",2022,"male","United States of America","photographer,architect,sculptor,journalist,visual artist,performance artist,printmaker,essayist,video artist,conceptual artist","Dan Graham","Dan Graham",,,,,,,,1972,2016,,,,,,,,,,"['New York City']","['New York City:1964-2013']","Dan Graham"
"Carl Fredrik Hill","Lund",1849,"Lund",1911,"male","Sweden","painter","Carl Fredrik Hill","Carl Fredrik Hill",,,,,,,,,,,"Paris, Sweden, Montigny, France","{Paris:1},{France:3},{Sweden:1},{Montigny:1}",,,,,,,"[]","[]","Carl Fredrik Hill"
"Colin McCahon","Timaru",1919,"Auckland",1987,"male","New Zealand","painter","Colin McCahon","Colin McCahon",,,,,,,,,,,"New Zealand, Auckland","{Auckland:1},{New Zealand:1}",,,,,,,"[]","[]","Colin Mccahon"
"Orlan","Saint-Étienne",1947,,,"female","France","photographer,artist,sculptor,film director,new media artist,performance artist,digital artist,installation artist,video artist,body artist","ORLAN","Orlan",,,,,,,,2014,2014,,,,,,,,,,"['Paris', 'Los Angeles']","[]","Orlan"
"Angelo Morbelli","Alessandria",1853,"Milan",1919,"male","Kingdom of Italy","painter","Angelo Morbelli","Angelo Morbelli",,,,,,,,1889,1915,,,,,,,,,,"['Turin', 'Milan']","['Turin:1879-1879', 'Milan:1867-1919']","Angelo Morbelli"
"Janet Cardiff","Brussels",1957,,,"female","Canada","artist,film producer,new media artist,installation artist,video artist,sound artist","Janet Cardiff","Janet Cardiff",,,,,,,,2008,2009,,,,,,,,,,"['Berlin', 'Canada']","[]","Janet Cardiff"
"James Gillray","Chelsea",1756,"London",1815,"male","United Kingdom","illustrator,painter,cartoonist,graphic artist,caricaturist,printmaker,drawer","James Gillray","James Gillray",,,,,,,,1782,1789,,"London, England","{London:8},{England:1}",,,,,,,"['London']","[]","James Gillray"
"Sarah Sze","Boston",1969,,,"female","United States of America","sculptor,university teacher,printmaker","Sarah Sze","Sarah Sze",,,,,,,,2011,2012,,,,,,,,,,"[]","[]","Sarah Sze"
"Carrie Mae Weems","Portland",1953,,,"female","United States of America","photographer,installation artist,video artist","Carrie Mae Weems","Carrie Mae Weems",,,,,,,,1987,2003,,,,,,,,,,"['Santa Clarita', 'Berkeley', 'Portland', 'San Diego', 'Syracuse University']","[]","Carrie Mae Weems"
"Philippe Parreno","Oran",1964,,,"male","France","photographer,visual artist,drawer,video artist,conceptual artist","Philippe Parreno","Philippe Parreno",,,,,,,,2008,2008,,"London, United Kingdom","{London:1},{United Kingdom:1}",,,,,,,"['Paris']","[]","Philippe Parreno"
"Zanele Muholi","Umlazi",1972,,,"non-binary","South Africa","photographer,social activist","Zanele Muholi","Zanele Muholi",,,,,,,,2003,2014,,,,,,,,,,"['Johannesburg']","[]","Zanele Muholi"
"Mimmo Jodice","Naples",1934,,,"male","Italy","photographer","Mimmo Jodice","Mimmo Jodice",,,,,,,,1980,2002,,,,,,,,,,"[]","[]","Mimmo Jodice"
"Joan Jonas","New York City",1936,,,"female","United States of America","artist,television producer,university teacher,choreographer,film director,visual artist,multimedia artist,performance artist,video artist","Joan Jonas","Joan Jonas",,,,,,,"{Contemporary art:1}",1999,2016,,,,,,,,,,"['New York City']","[]","Joan Jonas"
"Giuseppe Capogrossi","Rome",1900,"Rome",1972,"male","Italy","painter,graphic artist,drawer","Giuseppe Capogrossi","Giuseppe Capogrossi",,,,,,,,1931,1963,,,,,,,,,,"[]","[]","Giuseppe Capogrossi"
"Simon Starling","Epsom",1967,,,"male","United Kingdom","photographer,artist,sculptor,conceptual artist","Simon Starling","Simon Starling",,,,,,,,2004,2007,,,,,,,,,,"['Copenhagen']","[]","Simon Starling"
"Albert Renger-Patzsch","Würzburg",1897,"Wamel",1966,"male","Germany","photographer","Albert Renger-Patzsch","Albert Renger-Patzsch",,,,,,,,1921,1944,,"Germany, Hanover","{Hanover:2},{Germany:2}",,,,,,,"[]","[]","Albert Renger Patzsch"
"Kutluğ Ataman","Istanbul",1961,,,"male","Turkey","screenwriter,photographer,cinematographer,painter,film director,video artist","Kutluğ Ataman","Kutluğ Ataman",,,,,,,,2008,2009,,,,,,,,,,"[]","[]","Kutlug Ataman"
"John Latham","Eltham",1740,"Winchester",1837,"male","Kingdom of Great Britain","naturalist,writer,physician,zoologist,illustrator,biologist,ornithologist,scientific illustrator,judge,lawyer,politician,diplomat,intelligence officer,lacrosse player,military personnel,sculptor,visual artist,performance artist,conceptual artist,physicist,climatologist,poet,researcher,university teacher","John Latham","John Latham",,,,,,,,1960,1988,,,,,,,,,,"[]","[]","John Latham"
"Robin Rhode","Cape Town",1976,,,"male","South Africa","photographer,graphic designer,graphic artist,visual artist,performance artist,video artist","Robin Rhode","Robin Rhode",,,,,,,,2010,2016,,,,,,,,,,"['Berlin']","[]","Robin Rhode"
"Anne Hardy",,1970,,,"female","United Kingdom","photographer,researcher,academic,historian,university teacher","Anne Hardy","Anne Hardy",,,,,,,,2016,2016,,,,,,,,,,"[]","[]","Anne Hardy"
"Rosa Barba","Agrigento",1972,,,"female","Italy","screenwriter,actor,artist,television producer,filmmaker,film director,visual artist,director,video artist","Rosa Barba","Rosa Barba",,,,,,,,2016,2016,,,,,,,,,,"['Berlin', 'Amsterdam']","[]","Rosa Barba"
"Karla Black","Alexandria",1972,,,"female","United Kingdom","sculptor,installation artist","Karla Black","Karla Black",,,,,,,,2009,2009,,,,,,,,,,"[]","[]","Karla Black"
"Jessie Tarbox Beals","Hamilton",1870,"New York City",1942,"female","United States of America","photographer,photojournalist,journalist","Jessie Tarbox Beals","Jessie Tarbox Beals",,,,,,,,1910,1928,,,,,,,,,,"['New York City', 'Massachusetts']","[]","Jessie Tarbox Beals"
"Maurizio Nannucci","Florence",1939,,,"male","Italy","photographer,musician,sculptor,scenographer,visual artist,performance artist,video artist,visual poet","Maurizio Nannucci","Maurizio Nannucci",,,,,,,,1973,2000,,,,,,,,,,"['Germany', 'Florence']","[]","Maurizio Nannucci"
"Ivan Kožarić","Petrinja",1921,"Zagreb",2020,"male","Croatia","sculptor","Ivan Kožarić","Ivan Kožarić",,,,,"{conceptual art:1}",,,,,,,,,,,,,,"[]","[]","Ivan Kozaric"
"Ganzeer",,1982,,,"male","Egypt","painter","Ganzeer","Ganzeer",,,,,,,,2012,2014,,"Egypt","{Egypt:4}",,,,,,,"[]","[]","Ganzeer"
"David Diao","Chengdu",1943,,,"male","United States of America","teacher,artist,printmaker","David Diao","David Diao",,,,,,,"{Contemporary art:9}",1972,2014,,,,,,,,,,"['New York City', 'Berlin', ""'s-Hertogenbosch""]","[]","David Diao"
"Elke Krystufek","Vienna",1970,,,"female","Austria","photographer,painter,drawer","Elke Krystufek","Elke Krystufek",,,,,,,,2004,2004,,,,,,,,,,"['Vienna']","[]","Elke Krystufek"
"Katja Novitskova","Tallinn",1984,,,"female","Estonia","artist,visual artist,installation artist","Katja Novitskova","Katja Novitskova",,,,,,,,2012,2016,,,,,,,,,,"['Berlin', 'Amsterdam']","[]","Katja Novitskova"
"Tony Albert","Townsville",1981,,,"male","Australia","photographer,painter","Tony Albert","Tony Albert",,,,,,,,2012,2013,,,,,,,,,,"[]","[]","Tony Albert"
"John Gerrard","Dublin",1974,,2003,"male","Ireland","artist,police officer,archaeologist,geographer,infectious disease physician","John Gerrard","John Gerrard",,,,,,,,2012,2012,,,,,,,,,,"['Amsterdam']","[]","John Gerrard"
"Ann-Sofi Sidén","Stockholm",1962,,,"female","Sweden","painter,sculptor,multimedia artist,video artist","Ann-Sofi Sidén","Ann-Sofi Sidén",,,,,,,,2014,2014,,,,,,,,,,"[]","[]","Ann Sofi Siden"
"Park Hyun-ki",,1942,,2000,"male","Japan","television producer,video artist","Park Hyun-Ki","Park Hyun-ki",,,,,,,,1977,2015,,,,,,,,,,"[]","[]","Park Hyun Ki"
"Jae Hoon Lee","South Korea",1973,,,"male","New Zealand","researcher,artist,contemporary artist","Jae Hoon Lee","Jae Hoon Lee",,,,,,,,,,,,,"Chungang University. Seoul, Korea. B.F.A. & M.F.A., Korean Painting.",,,,,,"[]","[]","Jae Hoon Lee"
"Christian Louboutin","Paris",1964,,,"male","France","fashion designer","Christian Louboutin","Christian Louboutin",,,,,,,,,,,"France, Paris","{France:3},{Paris:1}",,,,,,,"[]","[]","Christian Louboutin"
"Hussein Chalayan","Nicosia",1970,,,"male","Northern Cyprus","businessperson,costume designer,filmmaker,university teacher,fashion designer,personal stylist","Hussein Chalayan","Hussein Chalayan",,,,,,,,,,,"London, England, Paris, France, United Kingdom","{London:3},{United Kingdom:3},{Paris:19},{France:19},{England:2}",,,,,,,"['London']","[]","Hussein Chalayan"
"Iman Issa","Cairo",1979,,,"female","Egypt","installation artist","Iman Issa","Iman Issa",,,,,,,,2014,2016,,"Egypt","{Egypt:1}",,,,,,,"['New York City']","[]","Iman Issa"
"Martin Margiela","Leuven",1957,,,"male","Belgium","costume designer,fashion designer","Martin Margiela","Martin Margiela",,,,,,,,,,,"France","{France:2}",,,,,,,"[]","[]","Martin Margiela"
"Heidi Bucher","Winterthur",1926,"Brunnen",1993,"female","Switzerland","artist,sculptor,visual artist,performance artist,drawer","Heidi Bucher","Heidi Bucher",,,,,,,,1972,1987,,,,,,,,,,"[]","[]","Heidi Bucher"
"Qiu Zhijie","Fujian",1969,,,"male","People's Republic of China","photographer,curator,university teacher,calligrapher,drawer,installation artist,video artist","Qiu Zhijie","Qiu Zhijie",,,,,,,,1992,2014,,,,,,,,,,"[]","[]","Qiu Zhijie"
"Konstantin Grcic","Munich",1965,,,"male","Germany","jewelry designer,designer,industrial designer","Konstantin Grcic","Konstantin Grcic",,,,,,,,2015,2016,,,,,,,,,,"[]","[]","Konstantin Grcic"
"Coco Chanel","Saumur",1883,"Hôtel Ritz Paris",1971,"female","France","costume designer,business executive,fashion designer,grand couturier,modiste,textile designer","Coco Chanel","Coco Chanel",,,,,,,,1922,1965,,"Paris, France","{Paris:10},{France:13}",,,,,,,"['Paris']","['Paris:1909-1971']","Coco Chanel"
"Roma","Romny",1915,"Moscow",1989,"female","Soviet Union","screenwriter,actor,model,luger,politician","Roma","Roma",,,,,,,,2010,2014,,"East London, New York, United States","{New York:1},{United States:1},{East London:1}",,,,,,,"[]","[]","Roma"
"Katharina Grosse","Freiburg im Breisgau",1961,,,"female","Germany","artist,painter,university teacher","Katharina Grosse","Katharina Grosse",,,,,,,,2014,2014,,"PA, Philadelphia","{Philadelphia:25},{PA:26}",,,,,,,"['Berlin']","[]","Katharina Grosse"
"José María Yturralde","Cuenca Province",1942,,,"male","Spain","painter","José María Yturralde","José María Yturralde",,,,,,,,1968,2005,,,,,,,,,,"[]","[]","Jose Maria Yturralde"
"Steven Claydon","Greater London",1969,,,"male","United Kingdom","actor,sculptor,film actor","Steven Claydon","Steven Claydon",,,,,,,,2015,2017,,,,,,,,,,"[]","[]","Steven Claydon"
"Rei Kawakubo","Tokyo",1942,,,"female","Japan","businessperson,personal stylist,designer","Rei Kawakubo","Rei Kawakubo",,,,,,,,,,,"Paris, Japan, France","{Paris:36},{France:36},{Japan:3}",,,,,,,"[]","[]","Rei Kawakubo"
"Janaina Tschäpe","Dachau",1973,,,"female","Germany","photographer,television producer,painter,sculptor","Janaina Tschäpe","Janaina Tschäpe",,,,,,,,1999,2000,,,,,,,,,,"['New York City']","[]","Janaina Tschape"
"Mona Saudi","Amman",1945,"Beirut",2022,"female","Jordan","sculptor","Mona Saudi","Mona Saudi",,,,,,,,1997,1997,,"Jordan","{Jordan:1}",,,,,,,"[]","[]","Mona Saudi"
"Fiona Tan","Pekanbaru",1966,,,"female","Indonesia","screenwriter,photographer,television producer,sculptor,film director,visual artist,director,installation artist,video artist","Fiona Tan","Fiona Tan",,,,,,,,2015,2015,,,,,,,,,,"['Amsterdam']","[]","Fiona Tan"
"Haegue Yang","Seoul",1971,,,"female","South Korea","sculptor,video artist","Haegue Yang","Haegue Yang",,,,,,,,2009,2009,,"South Korea, Gyeonggi","{Gyeonggi:1},{South Korea:1}",,,,,,,"['Seoul', 'Berlin']","[]","Haegue Yang"
"Amalia Ulman","Buenos Aires",1989,,,"female","Spain","photographer,artist,sculptor,film director,multimedia artist","Amalia Ulman","Amalia Ulman",,,,,,,,2014,2014,,,,,,,,,,"[]","[]","Amalia Ulman"
"Daniela Rossell","Mexico City",1973,,,"female","Mexico","photographer","Daniela Rossell","Daniela Rossell",,,,,,,,1999,2000,,,,,,,,,,"[]","[]","Daniela Rossell"
"Thomas Houseago","Leeds",1972,,,"male","United Kingdom","sculptor,visual artist","Thomas Houseago","Thomas Houseago",,,,,,,,2009,2010,,,,,,,,,,"['Amsterdam', 'Los Angeles', 'Leeds', 'City of Brussels', 'London']","[]","Thomas Houseago"
"George Smith","White Plains",1930,"Los Angeles",1983,"male","United States of America","scientist,photographer,physicist,inventor,rugby union player,musician,association football referee,writer,orientalist,archaeologist,anthropologist,assyriologist,military chaplain,publisher,missionary,Christian minister,Anglican priest,geologist,researcher,politician,chairperson,banker,plantation owner,baseball player,American football player,coach,basketball player,cricketer,judge,priest,architect,poet,painter,financier,executioner,association football player,association football manager,businessperson,philanthropist,swimmer,carpenter,trade unionist,mycologist,lawyer,historian,biographer,journalist,athlete,theologian,civil servant,military officer,geographer,foreign correspondent,distiller,visual artist,truck driver,botanist,basketball coach,chemist,biologist,biochemist,cartoonist,art collector,physician,academic administrator,clockmaker,sculptor,university teacher,military personnel,curator,taxonomist,legislator,farmer,livestock dealer,naval officer,head coach,pioneer,horse trainer,director,rugby league player,artist,activist","George Smith","George Smith",,,,,,,,,,,"London","{London:4}",,,,,,,"['Great Britain']","[]","George Smith"
"Mónica Castillo",,1961,,,"female","Mexico","video artist","Mónica Castillo","Mónica Castillo",,,,,,,,2000,2000,,,,,,,,,,"[]","[]","Monica Castillo"
"Boyd Webb","Christchurch",1947,,,"male","New Zealand","photographer,film director,visual artist,director","Boyd Webb","Boyd Webb",,,,,,,,,,,"London, United Kingdom","{London:2},{United Kingdom:2}",,,,,,,"['Brighton', 'London']","[]","Boyd Webb"
"Nadia Kaabi-Linke","Tunis",1978,,,"female","Tunisia","artist,printmaker","Nadia Kaabi-Linke","Nadia Kaabi-Linke",,,,,,,,2011,2011,,"Tunisia","{Tunisia:1}",,,,,,,"['Berlin']","[]","Nadia Kaabi Linke"
"Benet Rossell","Àger",1937,"Barcelona",2016,"male","Spain","artist","Benet Rossell","Benet Rossell",,,,,,,,1970,1979,,,,,,,,,,"[]","[]","Benet Rossell"
"Ali Cherri","Beirut",1976,,,"male","Lebanon","screenwriter,cinematographer,film director,film producer,film editor,plastic artist","Ali Cherri","Ali Cherri",,,,,,,,2011,2014,,"Lebanon","{Lebanon:5}",,,,,,,"[]","[]","Ali Cherri"
"Ma Qiusha","Beijing",1982,,,"female","People's Republic of China","visual artist","MA Qiusha","Ma Qiusha",,,,,,,,2013,2013,,,,,,,,,,"[]","[]","Ma Qiusha"
"Consuelo Kanaga","Astoria",1894,"New York City",1978,"female","United States of America","photographer","Consuelo Kanaga","Consuelo Kanaga",,,,,,,,1922,1924,,,,,,,,,,"[]","[]","Consuelo Kanaga"
"Johanna Billing","Jönköping",1973,,,"female","Sweden","artist,television producer,film director,visual artist,video artist","Johanna Billing","Johanna Billing",,,,,,,,2009,2015,,,,,,,,,,"['Stockholm']","[]","Johanna Billing"
"Jac Leirner","São Paulo",1961,,,"female","Brazil","sculptor,visual artist,textile artist","Jac Leirner","Jac Leirner",,,,,,,,1991,2016,,,,,,,,,,"[]","[]","Jac Leirner"
"Helmut Lang","Vienna",1956,,,"male","Austria","artist,personal stylist,designer,new media artist,drawer,sprinter,photojournalist,graphic artist","Helmut Lang","Helmut Lang",,,,,,,,,,,"USA","{USA:1}",,,,,,,"[]","[]","Helmut Lang"
"He Xiangyu","Kuandian Manchu Autonomous County",1986,,,"male",,"contemporary artist","He Xiangyu","He Xiangyu",,,,,,,,2011,2013,,,,,,,,,,"[]","[]","He Xiangyu"
"Ibrahim el-Salahi","Omdurman",1930,,,"male","Sudan","diplomat,civil servant,painter,drawer","Ibrahim El-Salahi","Ibrahim el-Salahi",,,,,,,,1951,2002,,"Sudan","{Sudan:2}",,,,,,,"['Khartoum', 'Oxford', 'London']","[]","Ibrahim El Salahi"
"Keith Carter","Morrilton",1976,"Asheville",2013,"male","United States of America","basketball player,comedian,swimmer,photographer,disc jockey,rapper,researcher,gymnast,coach,American football player","Keith Carter","Keith Carter",,,,,,,,1981,2001,,,,,,,,,,"[]","[]","Keith Carter"
"Erich Salomon","Berlin",1886,"Auschwitz II-Birkenau concentration camp",1944,"male","German Reich","photographer,reporter,jurist,photojournalist,journalist","Erich Salomon","Erich Salomon",,,,,,,,1928,1936,,"Germany","{Germany:2}",,,,,,,"['The Hague']","[]","Erich Salomon"
"Loris Cecchini","Milan",1969,,,"male","Italy","artist","Loris Cecchini","Loris Cecchini",,,,,"{Public Art:1}","Public Art:2004-2004",,2001,2011,,,,,,,,,,"[]","[]","Loris Cecchini"
"Rosângela Rennó","Belo Horizonte",1962,,,"female","Brazil","photographer,visual artist","Rosângela Rennó","Rosângela Rennó",,,,,,,,1992,2000,,,,,,,,,,"[]","[]","Rosangela Renno"
